UTC_h,Rrot_300,Rrot_350,Rrot_366,Rrot_380,Rrot_385,Rfull_300,Rfull_350,Rfull_366,Rfull_380,Rfull_385
7.666666666666666963e+00,1.004364336107763211e+00,1.012579511439710034e+00,1.021726468432598178e+00,1.036253906578823436e+00,1.036375885553565857e+00,1.005156006782808920e+00,1.014876602102685599e+00,1.025727060650639011e+00,1.043055320755002846e+00,1.043227945013984526e+00
7.750000000000000000e+00,1.004263803925746323e+00,1.012287987034759196e+00,1.021219137419267398e+00,1.035392858695075580e+00,1.035508873678993691e+00,1.005050543854661305e+00,1.014570450825147185e+00,1.025193559678965860e+00,1.042147115370213761e+00,1.042312630304165211e+00
7.833333333333333037e+00,1.004161232644665613e+00,1.011990590784864752e+00,1.020701677393843321e+00,1.034514960287505669e+00,1.034624994224585759e+00,1.004943043373901279e+00,1.014258429850942500e+00,1.024649928347512118e+00,1.041222058370857351e+00,1.041380426755571298e+00
7.916666666666666963e+00,1.004056671687058033e+00,1.011687468442517446e+00,1.020174347307833074e+00,1.033620671012883685e+00,1.033724684799604665e+00,1.004833554866231271e+00,1.013940685498346150e+00,1.024096427172337176e+00,1.040280595628621185e+00,1.040431809067612567e+00
8.000000000000000000e+00,1.003950171370388889e+00,1.011378768320687183e+00,1.019637410493751561e+00,1.032710457673920779e+00,1.032808414161433097e+00,1.004722128749429233e+00,1.013617366636869743e+00,1.023533321032786381e+00,1.039323196882109501e+00,1.039467259005784960e+00
8.083333333333333925e+00,1.003841782994475462e+00,1.011064641540835085e+00,1.019091135083845190e+00,1.031784794890201029e+00,1.031876663915380465e+00,1.004608816421007855e+00,1.013288624935600568e+00,1.022960879589253969e+00,1.038350341530763776e+00,1.038487265144886429e+00
8.166666666666666075e+00,1.003731558702182225e+00,1.010745241623123958e+00,1.018535793284807145e+00,1.030844163815618497e+00,1.030929922173517976e+00,1.004493670118578041e+00,1.012954614452259650e+00,1.022379376556188824e+00,1.037362515461601742e+00,1.037492322531256894e+00
8.250000000000000000e+00,1.003619551570089641e+00,1.010420724743360532e+00,1.017971661811865713e+00,1.029889052826234774e+00,1.029968684235115228e+00,1.004376743010760409e+00,1.012615491891180941e+00,1.021789090137441347e+00,1.036360211740318560e+00,1.036482934072411988e+00
8.333333333333333925e+00,1.003505815479718288e+00,1.010091249354375220e+00,1.017399021218539756e+00,1.028919956339158004e+00,1.028993451393377390e+00,1.004258089068131188e+00,1.012271416222899623e+00,1.021190302352529500e+00,1.035343929421518316e+00,1.035459608551330124e+00
8.416666666666666075e+00,1.003390405134450658e+00,1.009756976229248648e+00,1.016818155959297032e+00,1.027937374870290244e+00,1.028004730988822502e+00,1.004137763080209744e+00,1.011922548728226623e+00,1.020583299100438879e+00,1.034314173606672993e+00,1.034422849963326785e+00
