n_low,model,cls,op,tau,mass,delta,q0,s_hat,p_local,Z_local,Z_asymptotic
0,O10s_m4000,elastic,10,s,4000,0.0,5.980131149291992,0.9811494839814259,0.006166666666666667,2.5024606546564745,2.4454307556152344
0,O10v_m10,elastic,10,v,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O10v_m12,elastic,10,v,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O10v_m14,elastic,10,v,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O10v_m17,elastic,10,v,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O10v_m21,elastic,10,v,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O10v_m30,elastic,10,v,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O10v_m40,elastic,10,v,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O10v_m50,elastic,10,v,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O10v_m100,elastic,10,v,100,0.0,0.5243823528289795,0.5609493678930448,0.13722,1.0928947810307499,0.7241424918174744
0,O10v_m200,elastic,10,v,200,0.0,3.9933013916015625,0.9473450918012531,0.0173,2.113008971608029,1.9983246326446533
0,O10v_m400,elastic,10,v,400,0.0,5.1666717529296875,0.9714113988593454,0.00978,2.334682751257999,2.27303147315979
0,O10v_m1000,elastic,10,v,1000,0.0,5.694123268127441,0.9781869893922703,0.007293333333333333,2.4424817607780684,2.3862361907958984
0,O10v_m4000,elastic,10,v,4000,0.0,5.910121440887451,0.9804645626718411,0.00642,2.48817647881491,2.4310741424560547
0,O11s_m10,elastic,11,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m12,elastic,11,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m14,elastic,11,s,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m17,elastic,11,s,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m21,elastic,11,s,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m30,elastic,11,s,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m40,elastic,11,s,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m50,elastic,11,s,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m100,elastic,11,s,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m200,elastic,11,s,200,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m400,elastic,11,s,400,0.0,0.0,0.0,1.0,0.0,0.0
0,O11s_m1000,elastic,11,s,1000,0.0,0.0001992845063796267,0.014050466576009057,0.4123133333333333,0.22159822207393362,0.014116816222667694
0,O11s_m4000,elastic,11,s,4000,0.0,0.022954922169446945,0.14395575442176778,0.3634266666666667,0.34931434082146046,0.15150882303714752
0,O11v_m10,elastic,11,v,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O11v_m12,elastic,11,v,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O11v_m14,elastic,11,v,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O11v_m17,elastic,11,v,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O11v_m21,elastic,11,v,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O11v_m30,elastic,11,v,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O11v_m40,elastic,11,v,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O11v_m50,elastic,11,v,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O11v_m100,elastic,11,v,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O11v_m200,elastic,11,v,200,0.0,1.5301811695098877,0.7885161701560719,0.08737333333333333,1.3571087247148355,1.2370048761367798
0,O11v_m400,elastic,11,v,400,0.0,2.9746451377868652,0.9089425994752673,0.032593333333333335,1.843975802742802,1.7247159481048584
0,O11v_m1000,elastic,11,v,1000,0.0,3.6894538402557373,0.938139039921225,0.021026666666666666,2.032991979383645,1.9207950830459595
0,O11v_m4000,elastic,11,v,4000,0.0,3.996194839477539,0.9474254351371201,0.017393333333333334,2.1108330222956657,1.9990484714508057
0,O12s_m10,elastic,12,s,10,0.0,0.0,0.0,1.0,0.0,0.0
0,O12s_m12,elastic,12,s,12,0.0,0.0,0.0,1.0,0.0,0.0
0,O12s_m14,elastic,12,s,14,0.0,0.0,0.0,1.0,0.0,0.0
0,O12s_m17,elastic,12,s,17,0.0,0.0,0.0,1.0,0.0,0.0
0,O12s_m21,elastic,12,s,21,0.0,0.0,0.0,1.0,0.0,0.0
0,O12s_m30,elastic,12,s,30,0.0,0.0,0.0,1.0,0.0,0.0
0,O12s_m40,elastic,12,s,40,0.0,0.0,0.0,1.0,0.0,0.0
0,O12s_m50,elastic,12,s,50,0.0,0.0,0.0,1.0,0.0,0.0
0,O12s_m100,elastic,12,s,100,0.0,0.0,0.0,1.0,0.0,0.0
0,O12s_m200,elastic,12,s,200,0.0,0.007156503386795521,0.08222762557852548,0.3714266666666667,0.3280771460498464,0.08459611982107162
0,O12s_m400,elastic,12,s,400,0.0,0.5567731857299805,0.5733093097369419,0.18240666666666666,0.9062315003122325,0.7461723685264587
0,O12s_m1000,elastic,12,s,1000,0.0,1.0119317770004272,0.7008524358534487,0.12343333333333334,1.1579935547110771,1.0059481859207153
