drift_us,survival_tau566us,logS2c_70keV_ER
8.911052631578947967e+02,2.070304072874875612e-01,3.942343701762505592e+00
8.933408521303258567e+02,2.062140326127810674e-01,3.940627780417224724e+00
8.955764411027569167e+02,2.054008771154806068e-01,3.938911859071944299e+00
8.978120300751879768e+02,2.045909281015334535e-01,3.937195937726663431e+00
9.000476190476190368e+02,2.037841729269428137e-01,3.935480016381382562e+00
9.022832080200502105e+02,2.029805989975704272e-01,3.933764095036102137e+00
9.045187969924812705e+02,2.021801937689400863e-01,3.932048173690821269e+00
9.067543859649123306e+02,2.013829447460416533e-01,3.930332252345540844e+00
9.089899749373433906e+02,2.005888394831360222e-01,3.928616331000259976e+00
9.112255639097744506e+02,1.997978655835609407e-01,3.926900409654979107e+00
9.134611528822055107e+02,1.990100106995373874e-01,3.925184488309698239e+00
9.156967418546366844e+02,1.982252625319768091e-01,3.923468566964417814e+00
9.179323308270677444e+02,1.974436088302892189e-01,3.921752645619136945e+00
9.201679197994988044e+02,1.966650373921918493e-01,3.920036724273856521e+00
9.224035087719298645e+02,1.958895360635186933e-01,3.918320802928575652e+00
9.246390977443609245e+02,1.951170927380307951e-01,3.916604881583294784e+00
9.268746867167919845e+02,1.943476953572272348e-01,3.914888960238014359e+00
9.291102756892230445e+02,1.935813319101568619e-01,3.913173038892733491e+00
9.313458646616542183e+02,1.928179904332309180e-01,3.911457117547452622e+00
9.335814536340852783e+02,1.920576590100361580e-01,3.909741196202172198e+00
9.358170426065163383e+02,1.913003257711487493e-01,3.908025274856891329e+00
