E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.118937089020910207e+04,4.234055242905017853e+09,5.382275780385648832e+05,3.308872366409177500e+15,2.190857097397977486e+06,6.333473082091988643e-03
4.350000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.974910371170626604e+04,4.163211441492483616e+09,5.436633620681872126e+05,3.195209010424802500e+15,2.210824235647947062e+06,6.264601614537284625e-03
4.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.838554959966611932e+04,4.094511678156744480e+09,5.490259773841951974e+05,3.084924179977683000e+15,2.230579931234041229e+06,6.196483710092323509e-03
4.450000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.710004630553348397e+04,4.027875237110474586e+09,5.543154103406311478e+05,2.977930543975564500e+15,2.250125468166689388e+06,6.146689140525286171e-03
4.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.589373376195975288e+04,3.963224274679259300e+09,5.595316817339664558e+05,2.874142750975437000e+15,2.269462068279973697e+06,6.099565390528982785e-03
4.550000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.476756011235952610e+04,3.900483730371850491e+09,5.646748454439315246e+05,2.773477389668827500e+15,2.288590891908454243e+06,6.039174164352121774e-03
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.372228785548519954e+04,3.839581240300418377e+09,5.697449871156538138e+05,2.675852950059709500e+15,2.307513038841686212e+06,5.973505201007394370e-03
4.650000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.275850008494946087e+04,3.780447052901302338e+09,5.747422228822286706e+05,2.581189785326299500e+15,2.326229549532929435e+06,5.929517548635299985e-03
4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.187660680515260174e+04,3.723013946899094582e+09,5.796666981249764794e+05,2.489410074353267500e+15,2.344741406532667577e+06,5.885853260325035752e-03
4.750000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.107685130586374726e+04,3.667217151469088078e+09,5.845185862708532950e+05,2.400437784927359500e+15,2.363049536127114203e+06,5.827841580410313832e-03
4.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.035931657871468633e+04,3.612994268543854713e+09,5.892980876248532441e+05,2.314198637583691500e+15,2.381154810156426858e+06,5.783149273921010455e-03
4.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.972393175997800427e+04,3.560285197216567039e+09,5.940054282360977959e+05,2.230977975922815000e+15,2.399058047991879750e+06,5.736419981744624377e-03
4.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.917047858470473875e+04,3.509032060194935322e+09,5.986408587967478670e+05,2.149976890131062000e+15,2.416760018653645646e+06,5.694175502904169801e-03
4.950000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.869859783837826399e+04,3.459179132255256176e+09,6.032046535717411898e+05,2.071908427249116250e+15,2.434261443047520239e+06,5.652245594960703286e-03
5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.830779579293005372e+04,3.410672770653515339e+09,6.076971093588214135e+05,1.995867543480476000e+15,2.451562996305267792e+06,5.610626031833625647e-03
5.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.799745061497751158e+04,3.363461347445948601e+09,6.121185444771271432e+05,1.923294568411046250e+15,2.468665310209694784e+06,5.569312408115823128e-03
5.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.776681873470844585e+04,3.317495183677920341e+09,6.164692977840600070e+05,1.851929888075526000e+15,2.485568975691724103e+06,5.534481283355853487e-03
5.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.761504116478532524e+04,3.272726485392938614e+09,6.207497277183752740e+05,1.782826036760856750e+15,2.502274545380763710e+06,5.507067950926611798e-03
